Time (sec),(TC) Steering Wheel Angle (degrees),Accel. Pedal Pos. (%),Ambient Air Temp. (F),Boost Pressure (psi),Charge Air Temp. (F),Clutch Pedal Pos. (%),Coolant Temp. (F),Engine RPM (RPM),Est. Horsepower (hp),Estimated Torque (ft-lb),Fuel Rail Temp. (F),Gear Current (Gear),Intake Air Temp. (F),Oil Temperature (F),Vehicle Speed (mph),"AP Info:[AP3-FOR-001 v1.7.5.0-25364][USDM 2013-2014 Focus ST (50S)][Reflash: Stage1 91 OCT or 95 RON v506.ptm]"
0.000,1.5,0,0.0,-8.55,122.7,100,188.8,0,0.0,0.0,169.0,15,161.7,183.6,0.0,0
0.023,1.5,0,99.8,-8.54,122.7,100,188.8,907,1.8,10.3,169.0,15,161.7,183.6,0.0,0
0.056,1.5,0,99.8,-8.55,122.7,100,188.8,902,1.8,10.3,169.0,15,161.7,183.6,0.0,0
0.099,1.5,0,99.8,-8.55,122.7,100,188.8,903,1.8,10.3,169.0,15,161.7,183.6,0.0,0
0.142,1.5,0,99.8,-8.54,122.7,100,188.8,899,1.8,10.5,169.0,15,161.7,183.6,0.0,0
0.180,1.5,0,99.8,-8.54,122.7,100,188.8,901,1.8,10.3,169.0,15,161.7,183.6,0.0,0
0.220,1.5,0,99.8,-8.51,122.7,100,188.8,901,1.8,10.4,169.0,15,161.7,183.6,0.0,0
0.260,1.5,0,99.8,-8.53,122.7,100,188.8,906,1.8,10.4,169.0,15,161.7,183.6,0.0,0
0.304,1.5,0,99.8,-8.52,122.7,100,188.8,905,1.8,10.3,169.0,15,161.7,183.6,0.0,0
0.341,1.5,0,99.8,-8.55,122.7,100,188.8,901,1.8,10.3,169.0,15,161.2,183.6,0.0,0
0.375,1.5,0,99.8,-8.55,122.7,100,188.8,898,1.8,10.3,169.0,15,161.2,183.6,0.0,0
0.420,1.5,0,99.8,-8.57,122.7,100,188.8,897,1.7,10.0,169.0,15,161.2,183.6,0.0,0
0.460,1.5,0,99.8,-8.56,122.7,100,188.8,893,1.7,10.2,169.0,15,161.2,183.6,0.0,0
0.500,1.5,0,99.8,-8.57,122.7,100,188.8,894,1.7,10.0,169.0,15,161.2,183.6,0.0,0
0.540,1.5,0,99.8,-8.58,122.7,100,188.8,896,1.7,10.0,169.0,15,161.7,183.6,0.0,0
0.580,1.5,0,99.8,-8.58,122.7,100,188.8,897,1.7,10.0,169.0,15,161.7,183.6,0.0,0
