Time (sec),(TC) Steering Wheel Angle (degrees),Accel. Pedal Pos. (%),Ambient Air Temp. (F),Boost Pressure (psi),Charge Air Temp. (F),Clutch Pedal Pos. (%),Coolant Temp. (F),Engine RPM (RPM),Est. Horsepower (hp),Estimated Torque (ft-lb),Fuel Rail Temp. (F),Gear Current (Gear),Intake Air Temp. (F),Oil Temperature (F),Vehicle Speed (mph),"AP Info:[AP3-FOR-001 v1.7.5.0-25364][USDM 2013-2014 Focus ST (50S)][Reflash: Stage1 91 OCT or 95 RON v506.ptm]"
0.000,21.6,0,0.0,-8.32,135.9,100,193.1,0,0.0,0.0,170.1,15,167.5,188.0,0.0,0
0.013,21.6,0,99.1,-8.30,135.9,100,193.1,907,2.0,11.8,170.1,15,167.5,188.0,0.0,0
0.059,21.6,0,99.1,-8.32,135.9,100,193.1,909,2.0,11.8,170.1,15,167.5,188.0,0.0,0
0.092,21.6,0,98.7,-8.33,135.9,100,193.1,908,2.0,11.7,170.1,15,167.5,188.0,0.0,0
0.140,21.6,0,98.7,-8.36,135.9,100,193.1,904,2.0,11.8,170.1,15,167.5,188.0,0.0,0
0.174,21.6,0,98.7,-8.36,135.9,100,193.1,903,2.0,11.5,170.1,15,167.5,188.0,0.0,0
0.220,21.6,0,99.1,-8.35,135.9,100,193.1,901,2.0,11.7,170.1,15,167.5,188.0,0.0,0
0.254,21.6,0,99.1,-8.35,135.9,100,193.1,902,2.0,11.5,170.1,15,167.5,188.0,0.0,0
0.300,21.6,0,99.1,-8.37,135.9,100,193.3,906,2.0,11.5,170.1,15,167.5,188.0,0.0,0
0.333,21.6,0,99.1,-8.37,135.9,100,193.3,908,2.0,11.6,170.1,15,167.5,188.0,0.0,0
0.407,21.6,0,99.1,-8.38,135.9,100,193.3,908,2.0,11.4,170.1,15,167.5,188.0,0.0,0
0.412,21.6,0,99.1,-8.37,135.9,100,193.3,908,2.0,11.4,170.1,15,167.5,188.0,0.0,0
