Time (sec),(TC) Steering Wheel Angle (degrees),Accel. Pedal Pos. (%),Ambient Air Temp. (F),Boost Pressure (psi),Charge Air Temp. (F),Clutch Pedal Pos. (%),Coolant Temp. (F),Engine RPM (RPM),Est. Horsepower (hp),Estimated Torque (ft-lb),Fuel Rail Temp. (F),Gear Current (Gear),Intake Air Temp. (F),Oil Temperature (F),Vehicle Speed (mph),"AP Info:[AP3-FOR-001 v1.7.5.0-25364][USDM 2013-2014 Focus ST (50S)][Reflash: Stage1 91 OCT or 95 RON v506.ptm]"
0.000,16.9,0,0.0,-7.91,138.0,100,203.5,0,0.0,0.0,139.5,15,127.7,187.9,0.0,0
0.023,16.9,0,82.3,-7.92,138.0,100,203.4,899,2.9,17.0,139.5,15,127.7,187.9,0.0,0
0.046,16.9,0,82.0,-7.94,138.0,100,203.4,894,2.9,16.7,139.5,15,127.7,187.9,0.0,0
0.090,16.9,0,82.0,-7.92,138.0,100,203.4,894,2.9,16.9,139.5,15,127.7,187.9,0.0,0
0.133,16.9,0,82.3,-7.91,137.8,100,203.4,893,2.9,16.8,139.5,15,127.7,187.9,0.0,0
0.172,16.9,0,82.3,-7.89,137.8,100,203.4,893,2.9,16.9,139.5,15,127.7,187.9,0.0,0
0.212,16.9,0,82.3,-7.90,137.8,100,203.4,891,2.9,17.0,139.5,15,127.7,187.9,0.0,0
0.256,16.9,0,82.3,-7.89,137.8,100,203.4,892,2.9,17.0,139.5,15,127.7,187.9,0.0,0
0.321,16.9,0,82.3,-7.91,137.8,100,203.4,890,2.9,16.9,139.5,15,127.7,187.9,0.0,0
0.338,16.9,0,82.3,-7.89,137.8,100,203.4,888,2.9,17.0,139.5,15,127.7,187.9,0.0,0
0.371,16.9,0,82.3,-7.89,137.8,100,203.4,887,2.9,17.0,139.5,15,127.7,187.9,0.0,0
0.407,16.9,0,82.3,-7.87,137.8,100,203.4,892,2.9,17.0,139.5,15,127.7,187.9,0.0,0
0.454,16.9,0,82.0,-7.89,137.8,100,203.4,897,2.9,17.1,139.5,15,127.7,187.9,0.0,0
0.488,16.9,0,82.0,-7.91,137.8,100,203.4,898,2.9,17.0,139.5,15,127.7,187.9,0.0,0
0.533,16.9,0,82.3,-7.89,137.8,100,203.2,897,2.9,17.0,139.5,15,127.7,187.9,0.0,0
0.572,16.9,0,82.3,-7.90,137.8,100,203.2,899,2.9,17.0,139.5,15,127.7,187.9,0.0,0
